label,youtube_id,time_start,time_end,split
massaging legs,-5DLQG80yh4,232,242,validate
scrambling eggs,-5EKnCsR9A8,144,154,validate
driving car,-5EkeE4syvA,6,16,validate
reading book,-5EyYMSM5eo,378,388,validate
waiting in line,-5FU8vEKtyE,9,19,validate
using computer,-5HXuZ5ryYo,224,234,validate
cleaning shoes,-5I-VI9TP5k,181,191,validate
riding elephant,-5JKWL9AKOY,4,14,validate
digging,-5LEMasZdOc,15,25,validate
cutting watermelon,-5M3vGKRUWQ,54,64,validate
cutting pineapple,-5NObVvJedg,1,11,validate
scrambling eggs,-5RvkhL92b4,123,133,validate
parasailing,-5_5NtrU9zI,4,14,validate
playing cello,-5bYhwoDTTY,173,183,validate
juggling fire,-5dP_9DhRko,6,16,validate
stretching leg,-5fnpyU2iE0,113,123,validate
riding camel,-5fqwdtpSOY,13,23,validate
dunking basketball,-5jFf2thMKg,27,37,validate
high kick,-5klnjYyA6o,2,12,validate
shearing sheep,-5o48YgRlkQ,675,685,validate
rock climbing,-5vr1M9jygc,100,110,validate
folding napkins,-5wLopwbGX0,70,80,validate
clapping,-5ynhLqyws4,213,223,validate
swimming butterfly stroke,-5yyKPocddE,4,14,validate
fixing hair,-65aI53dvdE,22,32,validate
water sliding,-66lIjamXMA,34,44,validate
making tea,-6BGjxMc1BU,16,26,validate
cartwheeling,-6CM7VV8-_w,262,272,validate
juggling soccer ball,-6FiS3sFBSk,88,98,validate
crossing river,-6HHK4EV5yU,35,45,validate
doing laundry,-6I88CkC6iI,47,57,validate
exercising arm,-6JUsK8Xc1M,4,14,validate
parkour,-6KNHzXeYKo,173,183,validate
tasting food,-6KfcOhyCtI,42,52,validate
surfing water,-6UpPdfVoyg,47,57,validate
drinking beer,-6WPrWe4IHg,24,34,validate
recording music,-6Z_79jzvLo,33,43,validate
folding paper,-6c-sV_gmq0,72,82,validate
snatch weight lifting,-6dvnbAds1Y,20,30,validate
dancing macarena,-6hsbWBHZrE,13,23,validate
catching or throwing frisbee,-6k2ntyDP-c,47,57,validate
playing piano,-6wNVod8iag,377,387,validate
side kick,-6yaNVdS-2E,0,10,validate
parkour,-6ykAmBXIr0,13,23,validate
crying,-73Kg-MKmwE,10,20,validate
eating chips,-7784_WqE1E,16,26,validate
trimming trees,-78_S6w2N80,3,13,validate
tobogganing,-7Cd7uCCE3g,0,10,validate
dying hair,-7E9WiX7QfA,53,63,validate
yoga,-7M8Y3H6yoo,136,146,validate
playing squash or racquetball,-7arnYZJjKE,104,114,validate
swimming butterfly stroke,-7axUnKiycE,23,33,validate
waxing eyebrows,-7iqslDS5vo,163,173,validate
strumming guitar,-7mJ12n-xyM,126,136,validate
bungee jumping,-7oDolWb3FI,49,59,validate
belly dancing,-7tDxxH2g6I,16,26,validate
weaving basket,-85kDMryJ9M,577,587,validate
throwing ball,-89t2FKhgJk,3,13,validate
pumping fist,-8F5ATqM1vw,69,79,validate
bobsledding,-8IjJv90K-M,32,42,validate
cleaning floor,-8JbMlvZOxs,30,40,validate
ski jumping,-8PnKOdaKN8,29,39,validate
waxing chest,-8h42AaoMnc,20,30,validate
carving pumpkin,-8jPV06bmhA,46,56,validate
rock scissors paper,-8tBkfBtit8,46,56,validate
sweeping floor,-8wsYw78yTc,7,17,validate
trimming or shaving beard,-8xkFjix8cc,130,140,validate
ripping paper,-94nreFhQRg,20,30,validate
spraying,-94oNUNdpQs,12,22,validate
grooming dog,-9BGMU4WYMg,218,228,validate
hopscotch,-9ILBd-ArtM,0,10,validate
decorating the christmas tree,-9NYViQRQaI,55,65,validate
riding mule,-9Rcf4Fzed8,2,12,validate
exercising with an exercise ball,-9V1qe3Lk2M,1,11,validate
driving tractor,-9ad9yaPkKY,8,18,validate
surfing crowd,-9bRguDPMXI,72,82,validate
playing keyboard,-9gU1fIB6TM,23,33,validate
mowing lawn,-9i4bm2OiZ4,10,20,validate
playing badminton,-9oeVZ1AF8s,1,11,validate
massaging legs,-9ukDeJE1C0,692,702,validate
mopping floor,-A28Ss9rock,2,12,validate
drinking beer,-A7PrCTRvOY,263,273,validate
exercising arm,-ABVyFqo4rc,0,10,validate
eating spaghetti,-AEUGxV9mpg,33,43,validate
eating burger,-AMpy1HyBfk,261,271,validate
playing keyboard,-AZ9WaV2Ozk,60,70,validate
decorating the christmas tree,-AgJx-0yaFQ,8,18,validate
eating chips,-AhebSCahUM,462,472,validate
playing chess,-AiRXJWGXZQ,55,65,validate
riding or walking with horse,-ApPJCMjZVg,114,124,validate
petting animal (not cat),-Aw1GOyNtlI,13,23,validate
writing,-B-GH43bTjk,0,10,validate
push up,-B2oGkg1qSI,12,22,validate
folding clothes,-BABPsEWA54,37,47,validate
jogging,-BGRUc4x8qo,2,12,validate
making sushi,-BGvHxisFII,3,13,validate
washing hands,-BL2GD3GBfE,592,602,validate
wrestling,-BaXTkiViAE,303,313,validate
playing trumpet,-BtzVCzSnLk,73,83,validate
blowing leaves,-Bu-6oESyxQ,12,22,validate
tickling,-BuJ437TuOQ,1497,1507,validate
high kick,-BzpQMUsy0Y,4,14,validate
triple jump,-C38_1dMytQ,27,37,validate
assembling computer,-C6BDDvJO4A,45,55,validate
crying,-C7WEhlgf7w,97,107,validate
riding unicycle,-C9Tbfz0LRw,158,168,validate
making sushi,-C9gnkkNI6Y,85,95,validate
eating chips,-CHTxmgMUes,10,20,validate
reading book,-CQPR7e8xKE,0,10,validate
making a cake,-CYI2yJHIj4,150,160,validate
catching or throwing baseball,-C_s9oUnFek,3,13,validate
dying hair,-CaRbdIFhjI,148,158,validate
plastering,-Cf0liD1olk,82,92,validate
eating chips,-Cfmw6L4cI0,1,11,validate
gymnastics tumbling,-CiPki3XuVI,2,12,validate
crying,-CqL15NAiyo,21,31,validate
moving furniture,-D6-UmndVJk,1,11,validate
running on treadmill,-D6dlwKg2Xs,11,21,validate
whistling,-DTRPyv-DVI,0,10,validate
brushing hair,-DavtY9xgnc,545,555,validate
jetskiing,-DgC31LRuXs,6,16,validate
frying vegetables,-DhAghDNh60,84,94,validate
cartwheeling,-DskcreVRcY,26,36,validate
driving tractor,-DtqvvSHdk4,76,86,validate
climbing tree,-ELsDPpCYkA,2,12,validate
ski jumping,-Em6U3teolI,5,15,validate
scrambling eggs,-EmJ2fqvcsU,144,154,validate
eating chips,-EmZO5rG4rY,22,32,validate
tasting beer,-ErtRXry_Ns,179,189,validate
throwing discus,-EzA9QiSeQI,13,23,validate
mopping floor,-F-aEPmjERo,43,53,validate
tasting food,-F4jKfyxGQ4,108,118,validate
cleaning windows,-FOfyuyabWQ,16,26,validate
catching fish,-FPZjV_G6LU,33,43,validate
cracking neck,-FSQTAHxmpg,0,10,validate
hugging,-FWfQhqFoYc,61,71,validate
eating burger,-FbSzomWtWw,14,24,validate
parasailing,-FbUbIaCXtk,22,32,validate
shredding paper,-FsB_A4A1Ks,15,25,validate
swimming backstroke,-GQLJ_dIk1Q,131,141,validate
surfing water,-G_tgkmqChg,72,82,validate
yoga,-Gb1pbOE32g,32,42,validate
gymnastics tumbling,-Gfncisg2GE,1,11,validate
brushing hair,-Gio3hF5OA0,36,46,validate
massaging back,-GtH2Ue_7tw,71,81,validate
unloading truck,-HDvSTmuuNA,0,10,validate
kissing,-HaSHk661h4,188,198,validate
making bed,-HiMSqjiJxk,63,73,validate
skiing (not slalom or crosscountry),-HoiPytlLC4,52,62,validate
sweeping floor,-HtFDlInHZM,19,29,validate
writing,-HutuMqTAPw,275,285,validate
tapping guitar,-Hvl2ZcvTUw,0,10,validate
passing American football (in game),-HxBTALkZT4,0,10,validate
recording music,-IDv6_03HRU,8,18,validate
sniffing,-INcQCxFAH8,101,111,validate
front raises,-INebMIVKyo,5,15,validate
riding a bike,-IU5bU9_AT4,20,30,validate
folding clothes,-IVI6KEckqk,1,11,validate
exercising with an exercise ball,-IWwu5GfvVg,37,47,validate
yoga,-IeJ0CF3huY,16,26,validate
playing harmonica,-IlFdaVdEyU,1,11,validate
pushing car,-J5UQsKRvJw,55,65,validate
playing cricket,-J8NeF13oN0,17,27,validate
brush painting,-JHvT2pywbo,978,988,validate
hammer throw,-JN0MXb-zi8,17,27,validate
kissing,-JODrHxjs2Q,3,13,validate
tickling,-JuFFz7KyMo,41,51,validate
skiing crosscountry,-JyH941Q89Q,115,125,validate
riding mountain bike,-K4sb9_2bOM,52,62,validate
playing guitar,-KBf8XXQVXM,26,36,validate
playing cricket,-KD4urBJGac,8,18,validate
tango dancing,-KSenkRK0EE,47,57,validate
swimming butterfly stroke,-K_573BJUgs,31,41,validate
scrambling eggs,-KozPReFcs4,74,84,validate
running on treadmill,-KvDvP44fxc,25,35,validate
golf driving,-L1mPUcEHQY,0,10,validate
feeding fish,-LHB2aRRP5Q,0,10,validate
making sushi,-LISB_b8rIw,49,59,validate
climbing a rope,-LMBynHkTmQ,20,30,validate
catching or throwing baseball,-LZ6lnyP0BQ,102,112,validate
cooking sausages,-LhTjRSC7Rk,20,30,validate
playing ice hockey,-LsQK3zOcwo,194,204,validate
pumping gas,-LsxVKO78Fg,93,103,validate
using computer,-M3L1_DmZWg,41,51,validate
bartending,-M3_7e_exd8,108,118,validate
washing hair,-M9NIBnVh3U,541,551,validate
kissing,-MLjvAhdJIU,71,81,validate
tapping pen,-MPqy00mB-Y,16,26,validate
blowing leaves,-MV_iN5WXuw,2,12,validate
crawling baby,-N5C2S2KW80,18,28,validate
folding paper,-NURxUITIgI,47,57,validate
swinging on something,-NoPzfWbcG8,2,12,validate
blowing leaves,-OXiBOQNg0A,1,11,validate
applying cream,-OpOh05PYcw,2,12,validate
ripping paper,-Ovwq0kVUx4,2,12,validate
skiing (not slalom or crosscountry),-P56BlJO-gw,51,61,validate
auctioning,-P6oVaW_u9E,97,107,validate
making jewelry,-PB0FuE-fdA,363,373,validate
dancing gangnam style,-PMG_RNHaQE,204,214,validate
punching person (boxing),-PW6kckornM,8,18,validate
playing guitar,-PbHg505GzE,0,10,validate
applauding,-PgjjBi_gqM,47,57,validate
playing cricket,-Ptrh9RtQRs,54,64,validate
skiing slalom,-Q2OO6q6-iM,8,18,validate
folding napkins,-QRY9rDrJf0,1,11,validate
push up,-Qa30gmIA3E,18,28,validate
folding paper,-QezE7gfzY4,486,496,validate
ice fishing,-QfN6xAteC4,4,14,validate
dribbling basketball,-QhxoSeCqYE,65,75,validate
archery,-Qz25rXdMjE,14,24,validate
sweeping floor,-R7HTE7xJbE,2,12,validate
jogging,-R9ahRkfDLo,20,30,validate
sniffing,-RE0Mjs6Hdw,0,10,validate
riding scooter,-RfExGxPfSk,7,17,validate
trapezing,-RpAe8io4mU,56,66,validate
stomping grapes,-SHNC6Z1B_g,185,195,validate
bobsledding,-SWFnl5p1Xc,125,135,validate
playing flute,-SdDjLIkBHc,43,53,validate
cracking neck,-SdZ6USVLi4,1,11,validate
eating chips,-Ss-cEWk2JI,21,31,validate
writing,-TL7z_uCTNs,1,11,validate
snowkiting,-Tn37FK9K5M,167,177,validate
walking the dog,-U1xXJB1AHE,38,48,validate
archery,-UJgyiWe500,29,39,validate
drinking beer,-UaSZJopmBk,0,10,validate
shooting goal (soccer),-Ue7X0BbZWY,215,225,validate
gymnastics tumbling,-VdLmYXkJG0,38,48,validate
ski jumping,-W04ILeepgw,0,10,validate
singing,-W07v4Ci-zY,0,10,validate
trimming trees,-W9AQZ-gUro,1,11,validate
cheerleading,-WEkSYkXrUM,116,126,validate
bowling,-WH-lxmGJVY,5,15,validate
cooking on campfire,-WZgMWx8Elk,13,23,validate
massaging person's head,-WfbA1hJ-fM,3,13,validate
dancing ballet,-WmjG9gBUTI,301,311,validate
playing bagpipes,-Wx7UjNi3uU,10,20,validate
extinguishing fire,-X1Allr_ZcY,15,25,validate
using computer,-XJAF14rZf8,124,134,validate
massaging legs,-XJd1dTgslI,143,153,validate
massaging person's head,-XvstEcJxV0,1,11,validate
swing dancing,-Y-fUYGcb7o,49,59,validate
scuba diving,-Ynbp0XyHGo,117,127,validate
shaking head,-ZI_tlHaBgo,6,16,validate
laying bricks,-ZRdxrYnDkc,73,83,validate
eating spaghetti,-ZYl4Sw2SSk,243,253,validate
water sliding,-ZmsPOsGLYk,1,11,validate
breading or breadcrumbing,-_3E3GBXAUc,10,20,validate
making bed,-_Oni-SybW0,12,22,validate
playing poker,-_axH6kxbic,3,13,validate
peeling potatoes,-_hu_Ld-ddk,7,17,validate
cracking neck,-_p1Cftd_xo,123,133,validate
tap dancing,-_pn5NxJmok,4,14,validate
dodgeball,-a3gMNK8QpY,25,35,validate
barbequing,-aEZkNQQPLw,46,56,validate
clapping,-aGmWWA-h3s,70,80,validate
changing oil,-aJHPlJTesM,734,744,validate
unloading truck,-aKzhHxNXDo,66,76,validate
peeling apples,-aLdPxMzGhg,0,10,validate
kicking soccer ball,-aQR-rCWaVQ,16,26,validate
taking a shower,-aVL2ammbT4,209,219,validate
cutting nails,-aeOuOI3eN0,219,229,validate
washing hair,-agICx2hVmM,75,85,validate
crossing river,-al8APBDtEg,3,13,validate
sneezing,-ayNZ5bs7EQ,11,21,validate
brushing hair,-ayhkSjMkms,22,32,validate
tying knot (not on a tie),-b-YkpzFphk,111,121,validate
skiing slalom,-b6DTetUS9E,34,44,validate
passing American football (in game),-b6gqj_mZOs,9,19,validate
making pizza,-bCYukCk6SE,178,188,validate
playing ice hockey,-bH-BrGmJnM,4,14,validate
somersaulting,-bNSABT92hQ,6,16,validate
massaging feet,-bONQxgHBEc,188,198,validate
dancing macarena,-bOgXBuuge0,48,58,validate
skateboarding,-bQfgNsszaQ,172,182,validate
clapping,-bRqg_Rgmpk,3,13,validate
carving pumpkin,-bVVs-_nntQ,56,66,validate
eating spaghetti,-beyXnxwTao,40,50,validate
waxing eyebrows,-buq7C8Eqic,11,21,validate
sled dog racing,-bzEZZT8OSY,53,63,validate
sticking tongue out,-c0gEPZVGPo,3,13,validate
cooking on campfire,-c1JrpgLek0,11,21,validate
digging,-c3-qJC_azg,5,15,validate
playing tennis,-cIFpF1gGbE,13,23,validate
dancing gangnam style,-cIPyFZRweI,3,13,validate
sticking tongue out,-cMG2QyN-mE,47,57,validate
yawning,-cQG3mhrfxY,22,32,validate
washing feet,-cTzRqHS9yo,40,50,validate
side kick,-ceVJz9ULFM,3,13,validate
washing hair,-cleEWMMugo,164,174,validate
smoking,-cui-aLqI3g,541,551,validate
throwing discus,-d2997jIb3c,0,10,validate
blowing nose,-d7gxstQux4,67,77,validate
slapping,-d7lSkOl0ZU,59,69,validate
folding paper,-dKMoooU0o4,106,116,validate
braiding hair,-dLVSg5JvxY,22,32,validate
walking the dog,-dMaV5Il324,5,15,validate
ski jumping,-dPNq0rGTDo,78,88,validate
diving cliff,-dQsbQfZ008,6,16,validate
pushing cart,-dSUldceBAA,31,41,validate
exercising arm,-dXJw4nx_fE,14,24,validate
sticking tongue out,-daBSTzifXA,31,41,validate
riding a bike,-dpojmwnPUI,389,399,validate
massaging legs,-drCx9Izr30,71,81,validate
playing kickball,-dvwA0Hzj6s,58,68,validate
frying vegetables,-eJVHxmkm-4,204,214,validate
sniffing,-eXjiMsT1qk,276,286,validate
making a cake,-e_w1rF4RGg,90,100,validate
answering questions,-egPJubR-CE,1,11,validate
answering questions,-ejLPB4J4SM,106,116,validate
answering questions,-emx5qjikEc,1,11,validate
pole vault,-eq5-ZoYv4Y,6,16,validate
paragliding,-errNPiGXF4,39,49,validate
parasailing,-fJ4Fq583ec,51,61,validate
cleaning windows,-fN6cQFbu1M,4,14,validate
drinking beer,-fbscFfkh4M,224,234,validate
washing hands,-fouQuertaE,5,15,validate
skiing (not slalom or crosscountry),-fs4VkPaYRw,50,60,validate
training dog,-g1KcIki0ww,4,14,validate
holding snake,-g5emSW-SOg,10,20,validate
dancing macarena,-gBVLK8t4tE,4,14,validate
snatch weight lifting,-gGQapTcKuw,2,12,validate
cutting pineapple,-gJlTcI3jRI,0,10,validate
slacklining,-gn_eC6qOk0,101,111,validate
scuba diving,-gqlA679_f8,163,173,validate
parasailing,-gsRLvAO4mw,22,32,validate
disc golfing,-gun8tHqLIw,31,41,validate
unloading truck,-gw4REc9KqA,6,16,validate
decorating the christmas tree,-gxyV8qAm8s,159,169,validate
picking fruit,-h0RIu0ggZs,13,23,validate
tasting beer,-h1tKOt3PI0,1921,1931,validate
waxing chest,-h3LsUJLK4Y,3,13,validate
swinging on something,-hFHCRlEO2c,152,162,validate
grinding meat,-hFa8jTSaJw,133,143,validate
texting,-he92lx6vH0,0,10,validate
fixing hair,-hjVL6WNC00,9,19,validate
playing xylophone,-hjrLwuG7A0,1,11,validate
stretching leg,-hkrPB2YU50,612,622,validate
massaging person's head,-huT_p-r_zA,1989,1999,validate
dancing macarena,-i7rrd7W7UM,134,144,validate
situp,-iDQZbi59iY,9,19,validate
making snowman,-iS_ct6yvgA,10,20,validate
tying tie,-irXG0K3Wfo,126,136,validate
shining shoes,-isSe2P8T-4,100,110,validate
playing violin,-j3eNzQR-EI,64,74,validate
sweeping floor,-jCjPMzZulU,21,31,validate
sneezing,-jClw4auvvg,24,34,validate
building shed,-jLDOqR6XsI,472,482,validate
bowling,-jOClYqKtE8,3,13,validate
spraying,-jPhOjjHIl0,176,186,validate
arranging flowers,-jToAVyxs-g,46,56,validate
bobsledding,-jToBK-njO8,95,105,validate
hockey stop,-jTsiLl3m3w,193,203,validate
biking through snow,-je0yLm8oRU,26,36,validate
throwing axe,-jqSV_7Ysho,7,17,validate
washing hands,-jtKtX9gGdY,5,15,validate
presenting weather forecast,-kahgmRD-4g,4,14,validate
catching or throwing softball,-kdfl_GwOtE,0,10,validate
golf chipping,-khmO1mLnoA,143,153,validate
hugging,-kjWBgA81LM,0,10,validate
news anchoring,-kmzssWKO-o,29,39,validate
planting trees,-l14zBmCKo0,121,131,validate
washing dishes,-l309dqYR-8,113,123,validate
sweeping floor,-lNG5FOprD8,15,25,validate
playing paintball,-lPaefDR9mw,10,20,validate
playing kickball,-m-2ka9iN9M,42,52,validate
sneezing,-mhWqo41duA,0,10,validate
applying cream,-mouPHwsYD8,89,99,validate
sword fighting,-mx34h7Cfik,8,18,validate
swinging on something,-myPMnDFa4Q,3,13,validate
setting table,-mzTg9hPn5M,96,106,validate
picking fruit,-nTtZiY1He0,16,26,validate
knitting,-neqpygEoXs,26,36,validate
blowing leaves,-ngkOG5vwkE,25,35,validate
hula hooping,-niqevmo2Tc,86,96,validate
petting animal (not cat),-o0JCIfoeqs,84,94,validate
jogging,-o14DWqqMIY,51,61,validate
texting,-o9-ONbnlRw,6,16,validate
mopping floor,-oEGRKfiMuU,15,25,validate
shaking hands,-oR77BgphxA,0,10,validate
bobsledding,-ocHYDhuiW0,2,12,validate
wrapping present,-om14lXEcNs,5,15,validate
sanding floor,-orecnYvpNw,45,55,validate
massaging legs,-owlUWS7Sds,86,96,validate
vault,-p9Jhg2jyD8,21,31,validate
arranging flowers,-pCX6f6XZEw,521,531,validate
water sliding,-pHrb1FLXfY,11,21,validate
changing wheel,-pu2XnPx3BM,135,145,validate
arranging flowers,-pur4QkXp8Q,3,13,validate
pushing car,-q0sHf5rriY,25,35,validate
waxing legs,-q1rHTApl_I,58,68,validate
eating hotdog,-qicnRe0k4E,120,130,validate
applauding,-r8c7F4tOI8,54,64,validate
faceplanting,-ri90Xykrxg,2,12,validate
spinning poi,-sGcmYcU_QI,35,45,validate
laying bricks,-sf01vs2YMg,146,156,validate
catching or throwing softball,-shfV8JDCMk,1,11,validate
changing wheel,-sw4w8ht36s,386,396,validate
stretching arm,-t5Gz8E1Jeg,14,24,validate
skiing slalom,-t8vdaAZKRs,552,562,validate
high kick,-toLFfiQnzc,15,25,validate
tying bow tie,-u1Cj9edMUI,65,75,validate
scuba diving,-u5A74I0--M,12,22,validate
golf chipping,-uq6sWx0g_w,129,139,validate
dining,-vOrVT1CiPQ,80,90,validate
passing American football (in game),-vRY0Qrvz9A,0,10,validate
busking,-vxNdkgPqzg,33,43,validate
playing didgeridoo,-wAAeKoi594,8,18,validate
playing tennis,-whdHn9Mbcc,0,10,validate
playing violin,-wk1qN0k9VQ,21,31,validate
milking cow,-x6_TtmCCig,1,11,validate
